SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	January 14, 2019	January 11, 2019	January 10, 2019	January 09, 2019	January 08, 2019
Swiss franc		1.375830	1.365620	1.366320	1.364880
Thai baht		44.659800	44.612800	44.614400	44.656400
Trinidadian dollar		9.451710	9.441980	9.386060	9.386670
Tunisian dinar		4.183030	4.192770	4.186990	4.183330
U.A.E. dirham		5.139060	5.133310	5.116030	5.117680
Uruguayan peso			45.767200	45.390200	45.316900
Bolivar Soberano		1,110.330000	1,109.090000	979.058000	979.374000


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
